"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","","2","0","","0"
"0","GreenCity Web Application","0","Eco-News Creation","1","0","Validation of Source field URL format","0"
"0","GreenCity Web Application","0","Eco-News Creation","1","0","Preview Mode Match Input","0"
"0","GreenCity Web Application","1","Eco-News Creation","0","0","Validation of Title field limits and Publish button states","0"
"0","GreenCity Web Application","0","Eco-News Creation","1","0","Validation of Main Text field character limits","0"
"0","GreenCity Web Application","0","Eco-News Creation","1","0","Validation of Upload Image field","0"
"1","GreenCity Web Application","0","Eco-News Creation","0","0","Validation of Tag Selection Limits","0"
"0","GreenCity Web Application","1","Eco-News creation","0","0","Validation of form structure and field order","0"
